code,land_locked,curfew,pax_cap,perimeter_rule,feasibility,fact,judgment_note,source
LGA,1,0,0,1,0.08,"Land-constrained site in Queens bounded by Flushing Bay and dense urban fabric; operates under a perimeter rule and FAA slot controls.","Effectively no room for additional runway capacity; terminal rebuild only. Most congested / least expandable combination in the US.",https://www.faa.gov/about/office_org/headquarters_offices/ato/service_units/systemops/perf_analysis/slot_administration
DCA,1,1,0,1,0.10,"Slot-controlled, perimeter rule, tight Potomac-side site with noise-sensitive approaches.","Very limited physical expansion potential.",https://www.faa.gov/about/office_org/headquarters_offices/ato/service_units/systemops/perf_analysis/slot_administration
SNA,0,1,1,0,0.12,"Operates under a 1985 settlement agreement with Newport Beach (amended 2003 and 2014) imposing an annual passenger cap and a cap on average daily departures, plus a night curfew; curfew extended through 2035.","Demand is legally capped rather than physically constrained. Capacity investment cannot be monetised without renegotiating the settlement.",https://www.ocair.com/about/administration/settlement-agreement/settlement-agreement-faqs/
SFO,1,0,0,0,0.30,"Runways 28L/28R are separated by roughly 750 ft, far below the spacing required for independent simultaneous instrument approaches, so arrival rates fall sharply in low-visibility conditions. Bay-fill expansion faces major environmental hurdles.","Terminal investment feasible; runway reconfiguration extremely difficult.",https://www.faa.gov/sites/faa.gov/files/airports/planning_capacity/profiles/SFO-Airport-Capacity-Profile-2019.pdf
BOS,1,0,0,0,0.35,"Peninsular site in Boston Harbor bounded by water and East Boston; long-standing community noise agreements.","Terminal and gate modernisation feasible; airfield expansion largely not.",https://www.massport.com/
JFK,0,0,0,0,0.45,"Large site with an active multi-billion-dollar terminal redevelopment programme; airfield is slot-controlled.","Terminal capacity investable; airfield capacity fixed by slots.",https://www.faa.gov/about/office_org/headquarters_offices/ato/service_units/systemops/perf_analysis/slot_administration
EWR,0,0,0,0,0.40,"Constrained Newark Bay site; Level 2 schedule facilitation.","Terminal redevelopment feasible; airfield growth limited.",https://www.faa.gov/about/office_org/headquarters_offices/ato/service_units/systemops/perf_analysis/slot_administration
ORD,0,0,0,0,0.70,"Completed a major airfield modernisation reconfiguring parallel runways; substantial airfield land.","Among the more expandable large hubs.",https://www.faa.gov/about/office_org/headquarters_offices/ato/service_units/systemops/perf_analysis/slot_administration
LAX,1,0,0,0,0.35,"Hemmed in by dense development on all sides; runway realignment proposals have faced sustained community opposition.","Terminal / people-mover investment feasible; new runway capacity unlikely.",https://www.faa.gov/about/office_org/headquarters_offices/ato/service_units/systemops/perf_analysis/slot_administration
DFW,0,0,0,0,0.90,"Very large land holding with substantial undeveloped area inside the airport boundary.","High physical expandability.",https://www.faa.gov/airports/planning_capacity/npias
DEN,0,0,0,0,0.95,"One of the largest airport land holdings in the world with room for additional runways and concourses.","Highest physical expandability among US large hubs.",https://www.faa.gov/airports/planning_capacity/npias
ATL,0,0,0,0,0.50,"High-throughput parallel runway layout on a constrained footprint between highways and communities.","Efficient but limited room for further airfield growth.",https://www.faa.gov/airports/planning_capacity/npias
IAH,0,0,0,0,0.80,"Large site with available land.","Good expandability.",https://www.faa.gov/airports/planning_capacity/npias
SEA,1,0,0,0,0.30,"Narrow site between Puget Sound and residential areas; third runway was heavily contested.","Terminal expansion constrained; airfield expansion very difficult.",https://www.faa.gov/airports/planning_capacity/npias
BDL,0,0,0,0,0.85,"Substantial land holding in Windsor Locks with room for terminal and apron expansion.","Strong physical expandability; regional overflow candidate for the Boston catchment.",https://www.faa.gov/airports/planning_capacity/npias
PVD,0,0,0,0,0.80,"Room for terminal and apron expansion; recently extended primary runway.","Strong expandability; regional overflow candidate.",https://www.faa.gov/airports/planning_capacity/npias
MHT,0,0,0,0,0.85,"Large site with significant unused capacity and room to grow.","Strong expandability; regional overflow candidate.",https://www.faa.gov/airports/planning_capacity/npias
ORH,0,0,0,0,0.70,"Hilltop site with terrain and frequent low-visibility limitations.","Moderate expandability; weather-limited.",https://www.faa.gov/airports/planning_capacity/npias
PWM,0,0,0,0,0.75,"Room for terminal expansion.","Good expandability.",https://www.faa.gov/airports/planning_capacity/npias
BTV,0,0,0,0,0.70,"Constrained by surrounding development but has terminal expansion room.","Moderate expandability.",https://www.faa.gov/airports/planning_capacity/npias
ANC,0,0,0,0,0.85,"Large site; major cargo hub with substantial apron area and room to expand.","High expandability; investment case is cargo-weighted.",https://www.faa.gov/airports/planning_capacity/npias
